arm,base,defense,mfa,wvs,rqi,composite
H01,zephyr-7B,Vanilla,69.2,26.0,70.7,55.3
H02,zephyr-7B,R2D2,57.4,52.5,65.5,58.5
H03,zephyr-7B,NeMo,0.0,0.0,1.0,0.3
H04,zephyr-7B,PEINN,76.2,29.3,73.4,59.6
H05,qwen2.5-7B,Vanilla,92.1,79.2,76.0,82.4
H06,qwen2.5-7B,NeMo,0.0,0.0,0.0,0.0
H07,qwen2.5-7B,PEINN,89.2,79.9,71.5,80.2
H08,gemma4-e4B,Vanilla,81.9,78.5,74.5,78.3
H09,gemma4-e4B,NeMo,0.0,0.0,0.0,0.0
H10,gemma4-e4B,PEINN,82.8,77.9,71.7,77.5
H11,gemma3-12B,Vanilla,83.9,88.6,73.3,82.0
H12,gemma3-12B,NeMo,0.0,0.0,0.0,0.0
H13,gemma3-12B,PEINN,83.5,87.5,74.5,81.8
H14,zephyr-7B,LlamaGuard,69.5,26.7,64.2,53.5
H15,qwen2.5-7B,LlamaGuard,92.2,79.0,72.2,81.1
H16,gemma4-e4B,LlamaGuard,82.2,79.0,75.8,79.0
H17,gemma3-12B,LlamaGuard,84.2,88.6,74.9,82.6
