arm,base,defense,asr_mean,asr_sd,successes,sev_hsl
H01,zephyr-7B,Vanilla,68.0,4.47,136,2.61
H02,zephyr-7B,R2D2,17.5,5.3,35,2.49
H03,zephyr-7B,NeMo,0.0,0.0,0,
H04,zephyr-7B,PEINN,2.0,2.09,4,2.25
H05,qwen2.5-7B,Vanilla,26.0,9.29,52,2.04
H06,qwen2.5-7B,NeMo,0.0,0.0,0,
H07,qwen2.5-7B,PEINN,1.0,1.37,2,2.0
H08,gemma4-e4B,Vanilla,23.5,6.52,47,2.45
H09,gemma4-e4B,NeMo,0.0,0.0,0,
H10,gemma4-e4B,PEINN,0.0,0.0,0,
H11,gemma3-12B,Vanilla,34.0,6.27,68,2.13
H12,gemma3-12B,NeMo,0.0,0.0,0,
H13,gemma3-12B,PEINN,1.0,1.37,2,2.0
H14,zephyr-7B,LlamaGuard,6.5,4.54,13,2.54
H15,qwen2.5-7B,LlamaGuard,2.5,3.06,5,2.2
H16,gemma4-e4B,LlamaGuard,1.5,1.37,3,2.67
H17,gemma3-12B,LlamaGuard,2.5,3.06,5,2.2
